Name,Distinction,Cuisine
Yao Yao,Bib Gourmand,Chinese
KŌMO, ,Japanese
Indienne,1 Star,Indian
Gioia Ristorante e Pastificio, ,Italian
Heritage Restaurant & Caviar Bar, ,Contemporary
Porto,1 Star,Portuguese
Nella Pizza e Pasta,Bib Gourmand,Italian
Girl & The Goat,Bib Gourmand,Contemporary
Mama Delia,Bib Gourmand,Spanish
Smyth,3 Stars,Contemporary
Qiao Lin Hotpot, ,Chinese
Sushi Dokku, ,Japanese
Tan Lu, ,Chinese
The Perch, ,American
Testaccio, ,Mediterranean
Topolobampo,1 Star,Mexican
etta,Bib Gourmand,Italian
gather, ,Contemporary
The Dawson, ,Gastropub
Esmé,1 Star,Contemporary
Proxi,Bib Gourmand,International
Swift & Sons, ,Steakhouse
Mott St.,Bib Gourmand,Fusion
Chef’s Special Cocktail Bar,Bib Gourmand,Chinese
1308 Chicago, ,Contemporary
Bloom Plant Based Kitchen,Bib Gourmand,Vegan
GG's Chicken Shop, ,American
La Josie,Bib Gourmand,Mexican
Tzuco, ,Mexican
Next,1 Star,Contemporary
Ghin Khao,Bib Gourmand,Thai
5 Rabanitos, ,Mexican
Pizza Friendly Pizza, ,Pizza
Gaijin, ,Japanese
Andros Taverna, ,Greek
Obélix, ,French
Provaré, ,Fusion
Kyoten Next Door, ,Sushi
MCCB, ,Chinese
Kie-Gol-Lanee,Bib Gourmand,Mexican
Monteverde, ,Italian
Swift & Sons Tavern & Oyster Bar, ,American
Brindille, ,French
Perilla,Bib Gourmand,Korean
Rose Mary, ,Croatian
Adorn, ,American
Hinoki Sushiko, ,Japanese
Sochi,Bib Gourmand,Vietnamese
Cira,Bib Gourmand,Mediterranean
Fiya, ,Israeli
Gilt Bar,Bib Gourmand,Gastropub
Chez Joël, ,French
S.K.Y., ,Contemporary
Cellar Door Provisions,Bib Gourmand,Mediterranean
Roux, ,Southern
Elina's, ,Italian
Itoko, ,Japanese
Boonie's,Bib Gourmand,Filipino
Lou Mitchell's, ,American
Oriole,2 Stars,Contemporary
Mako,1 Star,Japanese
Galit,1 Star,Middle
Nhà Hàng Vietnam, ,Vietnamese
Jeong, ,Korean
Dear Margaret,Bib Gourmand,Contemporary
Temporis,1 Star,Contemporary
Coda Di Volpe, ,Italian
Birrieria Zaragoza,Bib Gourmand,Mexican
Alla Vita, ,Italian
Moody Tongue,2 Stars,Contemporary
St. Clair Supper Club, ,American
Lardon,Bib Gourmand,Deli
WoodWind, ,American
Union,Bib Gourmand,American
Chicago Cut, ,Steakhouse
Ina Mae,Bib Gourmand,Southern
Bavette’s Bar & Boeuf, ,Steakhouse
Alinea,3 Stars,Creative
Les Nomades, ,French
Parachute, ,Korean
The Coach House by Wazwan, ,South
Atelier,1 Star,American
Avli on the Park, ,Greek
Rooh, ,Indian
Roister, ,Contemporary
Momotaro, ,Japanese
Schwa,1 Star,Contemporary
Munno Pizzeria & Bistro,Bib Gourmand,Pizza
Omakase Yume,1 Star,Japanese
The Izakaya at Momotaro, ,Japanese
Arami, ,Japanese
Tortello Pastificio,Bib Gourmand,Italian
Giant,Bib Gourmand,American
Osteria Langhe, ,Italian
RPM Steak, ,Steakhouse
Bar Mar, ,Seafood
EL Ideas,1 Star,Contemporary
Kumiko, ,Japanese
Elske,1 Star,Contemporary
Blue Door Kitchen & Garden, ,American
Ceres’ Table, ,Italian
Longman & Eagle,Bib Gourmand,Gastropub
Mango Pickle,Bib Gourmand,Indian
Valhalla, ,Contemporary
Pompette,Bib Gourmand,Contemporary
Jinsei Motto, ,Asian
Sepia,1 Star,American
County Barbecue, ,Barbecue
Azul Mariscos + Muelle, ,Seafood
The Gundis, ,Central
Ever,2 Stars,Creative
Ciccio Mio,Bib Gourmand,Italian
Apolonia,Bib Gourmand,Contemporary
Kasama,1 Star,Filipino
Frontera Grill,Bib Gourmand,Mexican
The Publican, ,Gastropub
avec,Bib Gourmand,Mediterranean
Hugo’s Frog Bar & Fish House, ,American
Pleasant House Pub,Bib Gourmand,Gastropub
Luella’s Southern Kitchen, ,Southern
Prime & Provisions, ,Steakhouse
Chilam Balam,Bib Gourmand,Mexican
Sol de Mexico,Bib Gourmand,Mexican
North Pond, ,Contemporary
Cabra,Bib Gourmand,Peruvian
Demera, ,Ethiopian
Beatnik, ,Fusion
Superkhana International,Bib Gourmand,Indian
Big Jones, ,Southern
Tied House, ,Contemporary
Boka,1 Star,Contemporary
Sticky Rice, ,Thai
The Purple Pig,Bib Gourmand,Mediterranean
"Table, Donkey and Stick",Bib Gourmand,Austrian
Mi Tocaya,Bib Gourmand,Mexican
The Gage, ,Gastropub
Goosefoot, ,Contemporary
Marisol, ,American
Juno, ,Japanese
The Duck Inn,Bib Gourmand,Gastropub
HaiSous,Bib Gourmand,Vietnamese
Virtue,Bib Gourmand,Southern
Maple & Ash, ,Steakhouse
Carnitas Uruapan, ,Mexican
Daisies,Bib Gourmand,Italian
Eleven City Diner, ,Deli
Dolo, ,Chinese
Mordecai, ,American
Lula Cafe,Bib Gourmand,American
mfk.,Bib Gourmand,Spanish
Coalfire, ,Pizza
Bangers & Lace, ,Gastropub
