Name,Distinction,Cuisine
Paradisaea, ,Californian
Dalida, ,Mediterranean
Movida, ,Mexican
Olivia, ,Vegetarian
Kiln, ,Contemporary
hibi, ,Japanese
Baroo, ,Korean
Little Vietnam, ,Vietnamese
La Tejana,Bib Gourmand,Mexican
Michele's, ,American
Georgia Brown’s, ,Southern
Rania,1 Star,Indian
Bar Chinois, ,Asian
The Bombay Club, ,Indian
Little Pearl,1 Star,Contemporary
Fiola,1 Star,Italian
The Pembroke, ,French
Cane,Bib Gourmand,Caribbean
Stellina Pizzeria,Bib Gourmand,Pizza
Convivial, ,French
Jônt,2 Stars,Contemporary
Queen’s English,Bib Gourmand,Chinese
Annabelle, ,Contemporary
Chaplin's, ,Asian
Flora Flora, ,Latin
Bronze, ,Contemporary
New Heights, ,American
Anju, ,Korean
Taqueria Habanero,Bib Gourmand,Mexican
Dauphine's,Bib Gourmand,Creole
The Dabney,1 Star,American
Métier,1 Star,Contemporary
"Beloved BBQ at Love, Makoto", ,Japanese
Kappo, ,Japanese
Royal, ,Latin
Menya Hosaki,Bib Gourmand,Japanese
Daru,Bib Gourmand,Indian
Reveler's Hour, ,Contemporary
El Secreto de Rosita, ,Peruvian
Hank’s Oyster Bar, ,Seafood
Kinship,1 Star,Contemporary
Shōtō, ,Japanese
Rasika, ,Indian
Philotimo, ,Greek
Gravitas,1 Star,Contemporary
Blue Duck Tavern, ,American
Ellē,Bib Gourmand,Contemporary
Del Mar, ,Spanish
Family Ethiopian, ,Ethiopian
Xiquet,1 Star,Spanish
Rooster & Owl,1 Star,Contemporary
Café Riggs, ,Contemporary
Masseria,1 Star,Italian
Keren, ,Ethiopian
The Saga, ,Spanish
Petite Cerise, ,French
Ris, ,American
Thip Khao, ,Lao
Toki Underground,Bib Gourmand,Japanese
Chang Chang, ,Chinese
Opal, ,American
Grazie Nonna, ,Italian
Bar Spero, ,Contemporary
Chloe, ,International
L’Ardente, ,Italian
Laos in Town,Bib Gourmand,South
Rumi's Kitchen, ,Persian
Yellow,Bib Gourmand,Middle
Maïz64, ,Mexican
Patty O's Cafe & Bakery, ,European
Elcielo D.C.,1 Star,Colombian
Astoria DC,Bib Gourmand,Asian
Fiola Mare, ,Seafood
Das, ,Ethiopian
Maydān,1 Star,Middle
Maketto,Bib Gourmand,Asian
Karma Modern Indian,Bib Gourmand,Indian
Lutèce, ,Contemporary
San Lorenzo, ,Italian
Ottoman Taverna, ,Turkish
minibar,2 Stars,Contemporary
ala, ,Middle
Reverie,1 Star,Contemporary
Elfegne, ,Ethiopian
La Bise, ,French
Causa,1 Star,Peruvian
BlackSalt, ,Seafood
Bresca,1 Star,Contemporary
Mandu, ,Korean
Cranes, ,Spanish
Oyster Oyster,1 Star,Vegetarian
Sababa,Bib Gourmand,Mediterranean
Tail Up Goat,1 Star,Contemporary
Obelisk, ,Italian
Pineapple and Pearls,2 Stars,Contemporary
Sushi Nakazawa,1 Star,Japanese
Tsehay, ,Ethiopian
Imperfecto: The Chef's Table,1 Star,Latin
Tiger Fork, ,Chinese
The Imperial, ,American
dLeña, ,Latin
Shilling Canning Company, ,American
St. James, ,Caribbean
Seven Reasons, ,Latin
Apéro, ,French
Honeymoon Chicken,Bib Gourmand,American
Hitching Post,Bib Gourmand,Southern
